words,x,y,sentiment
upset,0.289642,0.427976,negative
scared,0.186737,0.340505,negative
dangerous,0.142571,0.263152,negative
stuck,0.346262,-0.266812,negative
paralyzed,0.275084,-0.17694,negative
impossible,-0.239516,-0.13659,negative
insecure,-0.4291,-0.406277,negative
splitting,0.229151,-0.193119,negative
ridiculous,-0.08638,0.358989,negative
dismal,-0.349104,0.241772,negative
rough,0.411745,0.217574,negative
waste,0.553794,-0.347278,negative
helpless,-0.133259,-0.415528,negative
silly,-0.095126,0.188933,negative
despised,-0.078189,-0.426096,negative
irritating,-0.09115,0.12986,negative
alarming,-0.540491,-0.005437,negative
regret,-0.447822,0.202378,negative
remarkable,-0.49656,0.198153,positive
luck,0.649038,-0.084776,positive
brave,-0.439029,-0.083304,positive
like,0.37831,0.364914,positive
suitable,-0.181527,0.002484,positive
exceedingly,-0.376586,-0.530051,positive
precisely,-0.086085,0.708669,positive
winning,0.285309,-0.300778,positive
clean,0.267131,-0.27531,positive
alley,0.317047,-0.359817,neutral
nevertheless,-0.103094,0.268291,neutral
accepts,0.158213,-0.087691,neutral
live,-0.262376,-0.065482,neutral
swell,-0.301924,-0.14276,neutral
crest,0.353998,-0.235336,neutral
shaken,-0.026525,-0.058044,neutral
doing,-0.450592,0.026672,neutral
rapidly,-0.156971,-0.186212,neutral
pang,-0.059249,0.086096,neutral
becomes,-0.040314,0.063579,neutral
directly,0.122847,-0.14725,neutral
kay,-0.10708,-0.310495,neutral
confidently,-0.178623,-0.263925,neutral
realize,-0.349081,-0.154315,neutral
result,-0.047981,0.160381,neutral
reconciled,-0.118679,-0.282993,neutral
hide,0.137992,0.166857,neutral
shell,0.056054,-0.015057,neutral
none,-0.166617,0.270182,neutral
understand,-0.512136,0.102349,neutral
precipitately,0.220896,0.014735,neutral
cabaret,0.073622,-0.334093,neutral
main,0.212209,-0.074523,neutral
keeps,0.116968,0.464348,neutral
natural,-0.076412,0.26636,neutral
simply,-0.297669,0.360284,neutral
mountain,0.327971,0.101325,neutral
girlâ,-0.520572,-0.176371,neutral
description,0.1791,-0.124987,neutral
champagne,-0.081757,-0.012568,neutral
underground,0.445996,0.161153,neutral
compromises,0.282651,0.055381,neutral
ghosts,0.199829,0.257799,neutral
referring,-0.192508,0.19447,neutral
forrest,-0.229416,-0.264433,neutral
democratic,-0.192938,0.274439,neutral
everybody,-0.460277,0.046888,neutral
exist,-0.352718,-0.269548,neutral
madison,0.259278,-0.315364,neutral
world,0.044837,0.151449,neutral
different,-0.291136,0.316355,neutral
kennemore,-0.017806,-0.258362,neutral
spinning,0.448792,0.094469,neutral
ropes,0.318528,-0.160487,neutral
sudden,0.055727,-0.091986,neutral
detective,0.027267,-0.150916,neutral
lucille,-0.35877,0.026442,neutral
rolling,0.230968,-0.100276,neutral
flow,0.360097,0.181094,neutral
security,-0.007308,0.122575,neutral
suburban,0.267735,-0.069112,neutral
music,0.127789,0.022378,neutral
libby,0.018505,-0.030475,neutral
trained,0.137321,0.266498,neutral
formal,-0.06324,0.310467,neutral
recoiled,0.080421,0.185479,neutral
frame,0.095136,0.259526,neutral
temporarily,0.225231,0.020859,neutral
acting,-0.087156,0.405833,neutral
comedy,-0.05944,-0.13149,neutral
clara,-0.204188,-0.125675,neutral
winding,0.520762,-0.077654,neutral
windows,0.400571,-0.087828,neutral
today,-0.20659,-0.207911,neutral
corn,-0.033987,-0.149029,neutral
melted,0.127531,0.102895,neutral
retire,-0.032524,0.269838,neutral
homeward,0.19593,-0.321083,neutral
josephine,-0.316642,-0.292123,neutral
swarming,0.088604,-0.021843,neutral
responded,-0.253915,-0.116021,neutral
fate,-0.018214,0.195783,neutral
queer,0.055152,0.002937,queer
