words,x,y,sentiment
nun,-0.035380025,-0.357593717,neutral
powdered,-0.194345269,0.0134191,neutral
altogether,0.023751975,-0.054740452,neutral
cheese,0.094403195,-0.216355883,neutral
pack,-0.030772336,0.151143555,neutral
prefect,-0.195113217,0.220005782,neutral
cuckoo,0.00992891,0.141306094,neutral
soft,-0.129837634,-0.132034788,positive
suggested,-0.203407056,0.199768719,neutral
cracked,0.424684,-0.222949,negative
beds,0.01376865,0.072443866,neutral
shocked,-0.531433,0.252255,negative
taylor,0.761750044,-0.152412386,neutral
boiled,-0.221223451,-0.047713694,neutral
bands,-0.009269791,0.1469275,neutral
wells,-0.243954713,0.158451383,neutral
bath,0.132800597,-0.058253831,neutral
relief,0.307124803,-0.051227073,positive
clean,0.37470423,0.137792715,positive
cissy,-0.102191504,-0.177708715,neutral
roast,-0.161937862,0.16519707,neutral
different,-0.251173425,-0.15522309,neutral
loafer,-0.17437862,-0.151709711,neutral
stinking,-0.305697736,0.137371109,neutral
out,-0.231974724,-0.188248852,neutral
mutton,0.079505003,0.166883492,neutral
delicate,-0.218919607,0.096334843,positive
thorns,-0.108488678,0.15592175,neutral
rosy,-0.513965245,-0.059940252,positive
dark,-0.386832,-0.11541,negative
undressed,-0.039219765,-0.03998426,neutral
pins,0.127424961,0.034499374,neutral
pisser,-0.188969633,-0.299974302,neutral
till,-0.145196595,-0.204410395,neutral
sly,-0.434099,-0.28131,negative
besides,-0.012341583,-0.503047605,neutral
sick,-0.06456205,-0.454562976,negative
cakes,-0.144428647,0.049958241,neutral
earnest,-0.427801474,-0.277488677,positive
confusion,0.01760839,-0.04841637,negative
chapter,-0.160094787,0.467909801,neutral
never,-0.261156749,-0.406781022,neutral
jenny,0.792467966,-0.094090296,neutral
loudly,-0.237503949,0.181218078,neutral
homeward,-0.318599263,0.091837718,neutral
thats,-0.376348956,-0.286623462,neutral
officer,0.604320695,0.025364588,neutral
falling,-0.466045287,0.147489641,negative
whole,-0.219687555,-0.119386624,neutral
corned,0.757142356,-0.062469885,neutral
louder,-0.097430226,0.403825769,negative
walk,0.029127611,0.118820468,neutral
greasy,0.071211164,0.555603739,negative
cruel,0.148927506,-0.089874241,negative
cantwell,0.090563454,0.332996049,neutral
fried,0.501415657,0.177845235,negative
oil,0.170430051,-0.14187225,neutral
curly,-0.05688257,-0.20019434,neutral
belt,0.193775671,0.354919534,neutral
joe,0.08441987,-0.269056567,neutral
perfume,0.01376865,-0.180519418,neutral
limp,0.534437423,0.116009765,negative
stale,0.151384939,0.332996049,negative
fountain,-0.005276461,0.533680254,neutral
fellows,-0.332422328,0.397080081,neutral
exquisite,-0.073009479,-0.049821721,positive
doctor,-0.234278568,-0.30700106,neutral
spelling,-0.085450237,0.171099547,neutral
tupper,0.73180007,-0.201599692,neutral
loop,0.603552747,-0.004147795,neutral
wins,0.146777251,0.484774019,positive
buck,-0.122158153,-0.080739456,neutral
free,0.06107425,0.736894093,positive
slender,-0.105263296,0.061201054,neutral
foreman,0.132954186,0.216632938,neutral
bang,-0.097583816,0.002878963,neutral
ilk,0.072900649,-0.170681957,neutral
expressive,-0.041523609,-0.207923774,neutral
owe,0.074436546,-0.100414378,neutral
turf,0.211284887,0.375999807,neutral
servants,-0.002358259,-0.087766214,neutral
author,0.121895735,0.206514407,neutral
leather,0.040800421,0.208200829,neutral
principle,0.107458311,0.137792715,neutral
bolt,0.04141478,-0.179816742,neutral
nicer,0.546724592,-0.193167582,positive
shiver,0.141248025,-0.550126883,negative
easier,0.454570827,-0.567693778,positive
rats,-0.117550465,-0.02171469,neutral
appetite,0.26488766,0.060498378,neutral
threshold,-0.07254871,0.190493399,neutral
eye,-0.228134983,-0.142574925,neutral
extent,0.013000702,0.037310077,neutral
worst,0.048326312,-0.188951527,negative
infirmary,0.07674039,0.132873984,neutral
no,-0.340065,-0.218775,neutral
healing,-0.183532,0.00451,neutral
hid,0.123828,0.098071,neutral
holy,-0.537925224,-0.114748964,positive
before,-0.054882,-0.080514,neutral
queer,-0.069937687,-0.025228068,queer
