words,x,y,sentiment
sardonic,0.06524,-0.262227,negative
strange,0.293499,0.197011,negative
odd,-0.204357,-0.163019,negative
peculiar,0.164867,-0.356269,negative
wild,0.197224,0.335135,negative
sullen,0.195972,0.27892,negative
sly,-0.010461,0.12372,negative
pathetic,-0.282615,0.001453,negative
comical,-0.300951,0.146137,negative
coarse,0.085776,0.434222,negative
pitiful,-0.292419,0.118709,negative
funny,-0.311532,0.115521,negative
lazy,-0.266368,0.090836,negative
faint,0.559366,-0.074604,negative
crumpled,-0.413295,-0.028151,negative
vindictive,0.249811,0.109348,negative
ridicule,0.415271,0.098631,negative
mocking,0.082267,-0.147792,negative
mischievous,0.189439,-0.254279,negative
sour,0.173845,-0.374925,negative
startling,0.210317,-0.20804,negative
dumb,0.074124,0.44066,negative
seedy,-0.468816,0.005604,negative
slow,0.301814,0.06312,negative
malicious,0.206765,-0.323908,negative
baffled,0.00043,-0.278648,negative
flicker,0.422569,-0.033574,negative
reproachful,-0.251367,-0.330113,negative
condescending,-0.195594,0.202195,negative
sneering,-0.115379,-0.327682,negative
monotony,0.242819,0.22569,negative
severe,-0.184858,0.305301,negative
grotesque,-0.259655,0.243208,negative
childish,-0.150917,-0.19754,negative
conceited,-0.319836,-0.208649,negative
mistrustful,-0.147671,-0.083418,negative
dazzling,-0.199462,-0.436398,positive
sharp,0.479114,0.212973,positive
bright,0.431443,-0.260698,positive
poetic,-0.212177,-0.15083,positive
convincing,-0.422044,0.005225,positive
keen,0.295501,0.116525,positive
amiable,-0.496936,0.191403,positive
brilliant,0.506291,-0.364106,positive
fine,0.213433,0.427581,positive
amazing,-0.16591,0.600914,positive
intimate,-0.429254,-0.342591,positive
curious,-0.147636,0.10913,neutral
goaty,0.193959,0.254458,neutral
crinkle,-0.052722,-0.203775,neutral
shy,-0.27743,-0.195586,neutral
satanic,0.039916,0.176035,neutral
alert,0.038384,-0.274406,neutral
slight,-0.147641,0.423153,neutral
quick,-0.322209,-0.02551,neutral
boyish,-0.269179,-0.113343,neutral
bold,-0.063832,-0.263461,neutral
unearthly,0.191036,0.267191,neutral
concha,-0.13187,0.206421,neutral
farouche,-0.169211,0.0031,neutral
curly,0.384378,-0.239229,neutral
fattish,0.21044,0.072703,neutral
little,0.257876,0.01273,neutral
limber,0.10718,-0.269966,neutral
contrasted,-0.24793,-0.113097,neutral
exchanged,-0.172338,0.215709,neutral
exotic,0.095374,0.042222,neutral
constrained,-0.155464,-0.064099,neutral
twinkling,0.200585,0.166838,neutral
raucous,-0.351598,0.200918,neutral
predative,0.25772,-0.103722,neutral
thick,0.581026,0.060781,neutral
mingled,0.081261,0.13214,neutral
gay,-0.126667,-0.293748,neutral
small,0.195023,-0.022406,neutral
manly,-0.219403,-0.320268,neutral
wolfish,0.252151,0.346463,neutral
perky,0.071599,-0.2114,neutral
pallid,0.317687,-0.006748,neutral
coy,-0.303385,-0.23042,neutral
bristling,0.388684,0.377646,neutral
puss,0.213898,-0.126595,neutral
nosed,0.141959,-0.365178,neutral
unkempt,0.269703,-0.110618,neutral
intent,-0.209274,0.028242,neutral
piquant,-0.180345,0.174601,neutral
connected,-0.047825,-0.29596,neutral
ghostly,0.023765,0.263857,neutral
whimsicality,-0.117743,-0.1361,neutral
sudden,-0.30421,0.507344,neutral
fleshy,0.124747,-0.107425,neutral
paralysing,-0.071486,0.090954,neutral
inscrutable,-0.040162,0.081727,neutral
dreamy,-0.280334,0.070389,neutral
resonant,-0.283956,0.155275,neutral
sympathized,-0.056968,-0.323457,neutral
wiry,0.477448,-0.19285,neutral
deadened,-0.333525,0.184296,neutral
scotchman,-0.185705,-0.302357,neutral
matthew,0.154252,0.287402,neutral
queer,0.044677,0.117418,queer
