words,x,y,sentiment
stupid,-0.386476,0.077674,negative
wretched,0.114891,0.317629,negative
desperate,0.004267,-0.116524,negative
wicked,-0.215831,-0.122465,negative
weak,-0.039216,-0.433776,negative
idiotic,-0.334332,0.147381,negative
faint,0.278214,0.037772,negative
chill,0.454079,-0.227283,negative
dreadful,-0.371453,-0.036067,negative
dim,0.34907,0.006885,negative
strange,0.066419,0.111688,negative
uncomfortable,0.072904,0.262539,negative
cruel,0.298932,0.222438,negative
terror,-0.062263,-0.302866,negative
silly,-0.01151,0.426826,negative
poor,0.085748,0.48285,negative
terrible,-0.340156,-0.407622,negative
moan,0.699507,0.110774,negative
bitter,0.071311,-0.252611,negative
scolded,-0.627676,0.020126,negative
dangerous,-0.067288,0.227078,negative
sinking,0.253655,-0.37723,negative
warning,0.24155,-0.154889,negative
worn,-0.239263,-0.180925,negative
fastidious,0.052311,-0.340722,negative
depressed,-0.287542,0.457759,negative
lovely,-0.12744,-0.11203,positive
warmly,-0.144159,-0.38468,positive
incredible,0.271181,0.432271,positive
delicate,-0.227679,-0.124028,positive
soft,-0.116457,-0.399409,positive
wonderful,0.213941,-0.121854,positive
proud,-0.577386,0.036225,positive
tender,-0.267805,-0.006619,positive
triumph,0.372786,-0.248029,positive
lucky,-0.071209,0.573528,positive
satisfactory,-0.35045,-0.149253,positive
extraordinarily,-0.148331,0.560884,positive
joy,0.657637,-0.161127,positive
smiles,0.515373,0.10412,positive
sort,0.116029,-0.06943,neutral
herself,-0.07289,-0.098049,neutral
turning,-0.346945,-0.153983,neutral
suddenly,-0.012406,0.256935,neutral
cared,0.329819,0.017338,neutral
claws,-0.218241,0.039989,neutral
completely,0.040119,0.227586,neutral
stealthily,-0.30225,0.030259,neutral
again,-0.018069,-0.147993,neutral
fluttering,-0.21182,0.178237,neutral
bodice,-0.353423,0.179618,neutral
isâ,0.066234,0.175002,neutral
emmie,0.040287,0.085579,neutral
pins,-0.527716,0.0003,neutral
couldnâ,0.19679,0.23546,neutral
tremble,-0.067699,0.072921,neutral
though,0.138087,0.222946,neutral
seems,0.216503,0.113442,neutral
mary,-0.027964,-0.325517,neutral
lamb,-0.09727,-0.385474,neutral
spectacles,-0.004905,0.119778,neutral
stewardess,0.071461,-0.198932,neutral
result,0.027504,0.163138,neutral
guard,-0.196468,-0.275089,neutral
dose,-0.044535,-0.322548,neutral
felt,0.199647,0.607277,neutral
cup,-0.234058,-0.088964,neutral
constantia,0.150257,-0.126,neutral
wax,-0.238314,-0.312995,neutral
only,0.472269,-0.147122,neutral
whiskey,0.009657,-0.319047,neutral
tame,0.141566,-0.121704,neutral
that,0.620134,0.006611,neutral
me,0.425036,-0.489086,neutral
janey,-0.066589,0.229068,neutral
governess,0.037175,-0.062017,neutral
crouched,-0.288317,0.209821,neutral
done,0.297759,0.068434,neutral
cake,-0.082958,-0.188568,neutral
this,0.603689,-0.000278,neutral
privately,0.083669,0.310138,neutral
puff,-0.444768,0.172143,neutral
spot,0.195976,-0.256733,neutral
chin,-0.438085,-0.137188,neutral
size,0.24535,-0.138877,neutral
heard,-0.031923,0.515817,neutral
cage,-0.2271,0.032945,neutral
burst,-0.04116,0.152577,neutral
particular,0.047377,0.210982,neutral
somebody,0.350901,-0.06943,neutral
an,0.08753,0.006366,neutral
loudly,-0.015863,0.246741,neutral
milly,0.110798,-0.174312,neutral
opportunity,-0.030545,0.239816,neutral
bowl,-0.486248,-0.052399,neutral
roar,-0.17118,-0.180563,neutral
fetch,-0.042963,-0.131325,neutral
also,0.001585,0.072376,neutral
bell,-0.118556,-0.36064,neutral
dis,0.138021,0.134624,neutral
queer,-0.059853,0.04356,queer
