words,x,y,sentiment
different,-0.07273,0.192439,neutral
funny,-0.377073,-0.109621,negative
peculiar,-0.418131,0.199991,negative
dreary,0.16827,-0.140554,negative
nice,-0.458109,-0.090084,positive
splended,-0.242969432,0.285633575,positive
covers,0.021659389,0.193489373,neutral
common,-0.014148472,-0.214769976,neutral
important,0.239126638,-0.402421308,positive
eating,0.062707424,0.152461663,neutral
stuff,-0.140786026,-0.145493678,neutral
personal,-0.08489083,-0.015012107,neutral
liking,-0.144279476,-0.012321765,positive
facts,-0.16349345,0.054936777,neutral
easy,-0.241222707,0.001129944,positive
hard,-0.306078,-0.096983,negative
many,0.483668122,-0.188539144,neutral
everyone,0.020786026,-0.315657789,neutral
delicate,0.088034934,-0.054694646,positive
inside,0.101135371,-0.326419155,neutral
injured,0.0469869,-0.148184019,neutral
uncertain,0.22707,-0.030483,negative
rigid,-0.107598253,-0.172397094,negative
saddening,0.019039301,0.169276298,neutral
strongest,0.309868996,-0.317675545,positive
difficult,-0.331179039,0.188781275,negative
strange,-0.269170306,-0.121280603,negative
brave,-0.154759825,0.56677428,positive
laughter,-0.23510917,-0.171051924,neutral
dreaming,0.143930131,0.434274953,neutral
perplexing,-0.212401747,0.377105192,negative
joke,0.253100437,0.118159806,negative
sentimental,-0.207161572,-0.160290557,neutral
flower,-0.224628821,-0.252434759,neutral
frightened ,0.140436681,0.438310465,neutral
city,-0.139912664,-0.358703255,neutral
killing,-0.339912664,0.079149852,negative
nasty,-0.082270742,-0.272612322,negative
lonesome,0.395458515,-0.146838849,negative
every,0.420786026,-0.10110304,neutral
bad,0.052227074,-0.122625773,negative
about,0.358777293,0.359617971,neutral
another,0.177991266,0.126230831,neutral
new,-0.341659389,0.034759214,neutral
grateful,0.12558952,0.102690342,positive
angry,0.584104803,0.328006457,negative
puzzling,-0.154759825,0.497497982,negative
cheerful,-0.24558952,-0.010976594,positive
mean,-0.118078603,0.513640032,neutral
impatient,0.697641921,0.067043315,negative
stronger,0.323842795,-0.104465967,positive
resembling,0.226026201,-0.111191821,neutral
beautiful,-0.312838428,0.015926823,positive
distinction,0.568384279,0.419478074,positive
mixture,0.08279476,-0.473715362,neutral
love,-0.018515284,0.420823245,positive
comforting,-0.157379913,-0.204681195,positive
makes,0.057467249,-0.148184019,neutral
others,0.398951965,-0.210734463,neutral
sometimes,0.358777293,0.085875706,neutral
unprotected,-0.170480349,-0.184503632,neutral
bitter,0.209432314,0.1968523,negative
alive,-0.165240175,-0.22149583,neutral
virtuous,0.532576419,-0.145493678,positive
close,-0.20628821,-0.341216034,neutral
buying,-0.331179039,0.245951036,neutral
worrying,0.113362445,-0.290099543,negative
interesting,-0.311965066,-0.323728814,positive
wearing,-0.307598253,0.182728006,neutral
some,0.758777293,0.128248588,neutral
astonishing,-0.297117904,-0.243691149,positive
meant,-0.391441048,0.266128598,neutral
scaring,-0.291004367,0.093274146,neutral
fat,-0.028122271,-0.323056228,negative
joking,-0.262183406,0.134301856,neutral
happening,0.122969432,0.494807641,neutral
harder,-0.16349345,-0.050659134,neutral
distinguished,0.510742358,0.255367232,positive
pleasant,-0.269170306,-0.448157116,positive
dangerous,-0.408034934,-0.332472424,negative
tender,0.267947598,-0.294807641,positive
expected,-0.121572052,0.054936777,neutral
needs,-0.104978166,0.13968254,neutral
mysterious,-0.068296943,-0.324401399,negative
swallowed,-0.396681223,0.040812483,neutral
stubborn,0.485414847,-0.162980899,negative
dr,-0.339039301,0.234517084,neutral
wrong,-0.052576419,-0.126661286,negative
other,0.369065,0.049051,neutral
sad,0.128209607,0.41409739,negative
right,-0.046462882,0.314554748,positive
existing,0.333035,0.009324,neutral
confused,-0.095371179,0.159187517,negative
nuisance,0.027772926,0.346838849,negative
instinct,0.057134,-0.059605,neutral
inspiration,0.155283843,-0.03653484,positive
superstition,0.130521,-0.033241,negative
generalised,0.293285,0.15162,neutral
wonderful,-0.260745,-0.286469,positive
frightening,-0.363793,-0.033488,negative
queer,0.013928,0.040327,queer
