words,x,y,sentiment
awfully,-0.173116,0.049595,negative
sized,-0.15154321,0.116903667,neutral
young,0.22153896,0.116782649,neutral
suspected,0.062185767,0.013918127,neutral
absorption,0.066379272,-0.106493874,neutral
posing,0.083153292,-0.418112869,neutral
nice,-0.138123994,-0.446551884,positive
maisie,-0.357729469,0.281932246,neutral
oblivion,-0.311231884,-0.008566848,neutral
horrors,0.250194579,0.112547051,neutral
speeches,-0.097866345,-0.103105395,neutral
evanescent,-0.163285024,-0.310044612,neutral
reputed,0.08944355,0.067165644,neutral
just,0.155840714,-0.00241918,neutral
blotted,-0.132253086,-0.090761652,neutral
buzzing,0.460049,0.162059,negative
dreaded,0.318688495,0.330982891,neutral
basins,-0.085285829,0.442923695,neutral
perennial,-0.06935051,-0.163371904,neutral
assuring,-0.483333333,-0.06694549,positive
booming,-0.007286634,0.114725359,positive
bent,0.221352,-0.407225,negative
hailed,-0.00393183,0.002179469,neutral
tender,0.293527465,-0.375151804,positive
twice,-0.196833065,-0.216377387,neutral
lampsher,-0.023221954,-0.071156885,neutral
walsh,-0.4068438,-0.4068438,neutral
heavens,-0.323309179,0.067238255,neutral
kissing,-0.129736983,0.047197825,neutral
caen,-0.288083736,-0.072173428,neutral
pockets,0.264871846,0.210570891,neutral
painters,-0.146511004,-0.201855337,neutral
cocking,-0.092834138,0.105286026,neutral
masculine,0.185894167,0.278340459,neutral
stogdon,-0.021684335,-0.122226095,neutral
exploded,-0.144833602,-0.162645801,neutral
comparison,0.104819735,0.095604659,neutral
deleterious,-0.253864734,-0.478209954,neutral
slang,-0.24212292,0.133604024,neutral
squirrels,-0.552173913,-0.014178168,neutral
this,0.226431383,-0.478016327,neutral
plans,0.32567767,0.038121544,neutral
significant,-0.436030596,0.002760351,positive
asquith,0.20756061,-0.229931301,neutral
persian,0.197076847,-0.133117632,neutral
negligently,-0.256884058,-0.468625401,neutral
tirade,-0.244806763,-0.004210233,neutral
armenians,-0.140640097,-0.10746201,neutral
invalids,-0.11883387,0.505368512,neutral
omitting,0.069873859,-0.10165319,neutral
proof,0.150249374,-0.396934879,neutral
immovable,-0.483762,-0.243646,negative
game,0.021648551,-0.115570155,neutral
richard,-0.310225443,-0.174118221,neutral
convict,0.178904992,0.003026589,neutral
porous,-0.230381106,0.108916539,neutral
fountains,-0.280032206,0.361745434,neutral
that,0.352236536,-0.329770397,neutral
affinity,0.235936661,0.644054092,positive
sucked,0.077467,-0.455266,negative
cleanliness,0.301215557,-0.214804165,positive
contamination,-0.490378422,-0.274320368,negative
about,0.444493648,0.128279273,neutral
happened,0.155840714,0.045987654,neutral
equitable,0.048906334,0.606296761,positive
toy,-0.059286098,-0.137232213,neutral
vacancy,0.141862364,0.27289469,neutral
innocence,-0.134769189,-0.147397649,neutral
seeming,0.051702004,-0.07381926,neutral
hovering,-0.198510467,-0.132149496,neutral
smiles,0.585674987,-0.126461693,positive
hives,0.017035695,0.222188531,neutral
suits,-0.133091787,0.125616897,neutral
roused,0.42422504,-0.084710798,neutral
transferred,0.090841385,0.063535132,neutral
falsehood,0.127884013,0.156113202,negative
accomplishment,-0.552173913,-0.014178168,positive
hideous,-0.389130435,0.472229193,negative
anyhow,-0.081092324,-0.06680027,neutral
dog,-0.067673108,0.076241926,neutral
different,0.485729782,0.040541885,neutral
albanians,-0.146511004,-0.084952832,neutral
craftsman,0.170517982,-0.30677715,neutral
escaped,0.102024065,0.105286026,neutral
cheerless,0.038841922,0.625175426,negative
ascertained,0.317989578,0.20270478,neutral
solicitous,0.296323135,-0.116780326,positive
judd,-0.057608696,-0.007259863,neutral
crabs,-0.105414654,0.361600214,neutral
elms,-0.099543747,0.270111297,neutral
mingling,-0.163285024,-0.037756169,neutral
dangled,0.269764269,0.099840257,neutral
incompatible,0.658362408,-0.084710798,negative
ceremonial,0.162829889,0.208755635,neutral
withheld,0.051422437,0.137234537,neutral
groom,-0.137556,0.187966,neutral
hitching,0.325956,-0.135776,neutral
diction,-0.01937,-0.0462,neutral
mentioned,0.308908,0.064552,neutral
tidy,-0.154059313,-0.007985966,positive
queer,-0.014249,0.009302,queer
